Nombre,Mascota,ID,Marca,Precio por unidad,Stock,Descripci�n,Categor�a,Precio por lote,Limite critico
Shampoo para perros de pelo largo,Perro,A1,PetGroom,12000,8,"Especialmente formulado para perros de pelo largo, ayuda a desenredar y suavizar el pelaje",Articulos de Aseo,54000,6
Toallitas humedas para limpieza de oidos de gatos,Gato,A2,EarCleanse,5000,23,Ayuda a mantener los oidos de los gatos limpios y libres de acumulaciones de cera,Articulos de Aseo,23000,7
Cepillo de dientes para perros,Perro,A3,Dentipet,6000,40,Cepillo de dientes especialmente diseñado para la higiene oral de los perros que ayuda a prevenir la acumulación de placa y mal aliento,Articulos de Aseo,27600,4
Tijeras para recorte de uñas de gatos,Gato,A4,NailPro,11270,12,Tijeras de alta calidad para recortar las uñas de los gatos de forma segura y precisa,Articulos de Aseo,45080,2
Toallitas húmedas para limpieza de patas de perros,Perro,A5,PawClean,5500,30,"Ideales para limpiar las patas de los perros después de paseos al aire libre, ayudan a mantenerlas limpias y libres de suciedad",Articulos de Aseo,25300,3
Abrigo para perros pequeños,Perro,B1,PetStyle,18900,8,Abrigo de invierno con forro polar para mantener abrigados a los perros pequeños durante los días fríos,Prendas de ropa,86940,1
Jersey para gatos,Gato,B2,CatChic,15000,11,"Jersey de punto suave y cálido para gatos, ideal para los días frescos de otoño e invierno",Prendas de ropa,69000,5
Pijama para perros,Perro,B3,CozyPets,25000,10,"Pijama de algodón suave y cómodo para perros, perfecto para mantenerlos abrigados y cómodos durante la noche",Prendas de ropa,115000,3
Vestido para perros pequeños,Perro,B4,PuppyFashion,17000,6," Vestido elegante y lindo para perros pequeños, ideal para ocasiones especiales o paseos en días cálidos",Prendas de ropa,78200,5
Chaleco salvavidas para perros,Perro,B5,AquaPaws,30000,8,"Chaleco salvavidas ajustable para perros, perfecto para actividades acuáticas y mantener a tu mascota segura en el agua",Prendas de ropa,138000,2
Correa retráctil para perros,Perro,C1,WalkMaster,12500,27,"Correa retráctil para perros de hasta 50 kg, con sistema de bloqueo y botón de freno para mayor control durante los paseos",Accesorios de paseo,56250,10
Arnés para gatos,Gatos,C2,CatWalk,10000,8,"Arnés ajustable y cómodo para gatos, con cierre de seguridad y anillo en D para sujetar la correa durante los paseos al aire libre",Accesorios de paseo,45000,1
Bolsa de transporte para mascotas,Perro/Gato,C3,PetTraveler,35000,12,Bolsa de transporte con correas ajustables y ventilación para llevar a tu mascota de manera cómoda y segura durante los viajes o paseos,Accesorios de paseo,157500,1
Comedero portátil para perros,Perro,C4,OnTheGoPets,8600,20,"Comedero plegable y portátil para perros, ideal para llevar durante los paseos o viajes y mantener a tu mascota hidratada y alimentada",Accesorios de paseo,38700,4
Dispensador de bolsas para excremento,Perro,C5,CleanPaws,5500,25,"Dispensador de bolsas de plástico para recoger los excrementos de tu perro durante los paseos, con clip para sujetarlo fácilmente a la correa",Accesorios de paseo,24750,3
Pelota de goma para perros,Perro,D1,PlayFetch,4500,18,"Pelota de goma duradera y resistente para perros, ideal para juegos de buscar y recoger",Juguetes de entretenimiento,20250,6
Juguete interactivo para gatos,Gato,D2,KittyPlay,7800,10,"Juguete interactivo con plumas y sonidos para gatos, estimula su instinto de caza y los mantiene entretenidos por horas",Juguetes de entretenimiento,35100,4
Juguete dispensador de premios para perros,Perro,D3,TreatMaster,12000,6,"Juguete dispensador de premios con laberinto para perros, estimula su mente y los recompensa con premios durante el juego",Juguetes de entretenimiento,54000,2
Juguete masticable para perros,Perro,D4,ChewMaster,10000,14,"Juguete masticable resistente para perros, ayuda a limpiar sus dientes y a liberar estrés mediante la masticación",Juguetes de entretenimiento,45000,6
Juguete de búsqueda de golosinas para gatos,Gato,D5,TreatHunter,6500,22,"Juguete de búsqueda de golosinas para gatos, los desafía mentalmente y los recompensa con premios escondidos",Juguetes de entretenimiento,29250,3
Clicker de entrenamiento para perros,Perro,E1,TrainClick,4000,20,"Clicker de entrenamiento para perros, utilizado para marcar y recompensar comportamientos deseables durante el adiestramiento",Juguetes de entrenamiento,18000,4
Juguete interactivo de obediencia para perros,Perro,E2,ObediPlay,12500,8,"Juguete interactivo de obediencia para perros, ayuda a enseñar comandos básicos como sentarse, quedarse y dar la pata",Juguetes de entrenamiento,56250,2
Disco volador de entrenamiento para perros,Perro,E3,FlyTrain,7000,15,"Disco volador de entrenamiento para perros, diseñado para ejercitar su agilidad, velocidad y capacidad de atrapar objetos en el aire",Juguetes de entrenamiento,31500,4
Aro de entrenamiento para perros,Perro,E4,RingTrain,8500,12,"Aro de entrenamiento para perros, ideal para practicar ejercicios de saltos, giros y atrapar el aro con la boca",Juguetes de entrenamiento,38250,2
Cono de entrenamiento para gatos,Gato,E5,CatTrain,4500,10,"Cono de entrenamiento para gatos, utilizado para guiar y dirigir su movimiento durante ejercicios de agilidad y obediencia",Juguetes de entrenamiento,20250,6
Pelota de masaje para perros,Perro,F1,RelaxBall,6000,18,"Pelota de masaje para perros, ayuda a relajar los músculos y liberar la tensión durante el juego",Juguetes de relajación,27000,2
Juguete de relajación con aroma para gatos,Gato,F2,AromaCalm,8000,10,"Juguete de relajación con aroma para gatos, impregnado con aceites esenciales relajantes para ayudar a calmar a tu gato en momentos de estrés",Juguetes de relajación,36000,6
Cojín de calor para perros y gatos,Perro/Gato,F3,WarmPaws,15000,11,"Cojín de calor para perros y gatos, proporciona calor reconfortante para aliviar dolores musculares y promover la relajación",Juguetes de relajación,67500,8
Peluche con sonidos relajantes para gatos,Gato,F4,SereneKitty,9800,7,"Peluche con sonidos relajantes para gatos, emite sonidos suaves y calmantes para ayudar a reducir el estrés y la ansiedad en los gatos",Juguetes de relajación,44100,5
Juguete de relajación de burbujas para peces,Pez,F5,BubbleBliss,6700,20,"Juguete de relajación de burbujas para peces, crea un ambiente tranquilo y relajante en el acuario con burbujas suaves y relajantes",Juguetes de relajación,30150,3
Cama ortopédica para perros pequeños,Perro,G1,OrthoPaws,45000,12,"Cama ortopédica para perros pequeños, brinda un soporte óptimo para las articulaciones y la columna vertebral, ideal para perros mayores o con problemas de salud",Camas,202500,3
Cama de lujo para gatos,Gato,G2,LuxeCats,32000,8,"Cama de lujo para gatos, con diseño elegante y acogedor, proporciona un lugar cálido y cómodo para que tu gato descanse",Camas,114000,2
Cama redonda para perros medianos,Perro,G3,RoundPups,25000,15,"Cama redonda para perros medianos, con borde elevado y acolchado suave, perfecta para que tu perro se sienta seguro y cómodo al descansar",Camas,112500,2
Cama tipo cueva para gatos,Gato,G4,CozyCats,19500,10,"Cama tipo cueva para gatos, con diseño acogedor que ofrece a tu gato un espacio privado y reconfortante para descansar y relajarse",Camas,87750,2
Cama de mimbre para perros grandes,Perro,G5,WickerWoofs,52000,16,"Cama de mimbre para perros grandes, con cojín grueso y transpirable, proporciona un lugar fresco y cómodo para que tu perro se relaje durante el descanso",Camas,234000,7
Cesta de mimbre para perros pequeños,Perro,H1,WickerPups,32000,10,"Cesta de mimbre para perros pequeños, con cojín suave y removible, ideal para que tu perro descanse cómodamente",Cestas,144000,7
Cesta de felpa para gatos,Gato,H2,PlushCats,25000,8,"Cesta de felpa para gatos, con borde elevado y acolchado, perfecta para que tu gato se sienta arropado y relajado",Cestas,125500,8
Cesta de mimbre con cojín para perros medianos,Perro,H3,ComfyPaws,38900,5,"Cesta de mimbre con cojín para perros medianos, con diseño elegante y cojín acolchado, proporciona un lugar cálido y confortable para el descanso de tu perro",Cestas,175050,8
Cesta de mimbre con cojín para gatos,Gato,H4,CozyCats,35500,7,"Cesta de mimbre con cojín para gatos, con diseño clásico y cojín suave, ofrece un lugar acogedor para que tu gato duerma y se relaje",Cestas,159750,5
Cesta de ratán para perros grandes,Perro,H5,RattanWoofs,55000,3,"Cesta de ratán para perros grandes, con cojín grueso y transpirable, proporciona un lugar fresco y cómodo para el descanso de tu perro",Cestas,247500,10
Nido de madera para perros pequeños,Perro,I1,WoodPups,60000,6,"Nido de madera para perros pequeños, con diseño rústico y acogedor, perfecto para que tu perro se sienta seguro y cómodo",Nidos o Muebles,270000,9
Mueble rascador para gatos,Gato,I2,ScratchyCats,82000,4,"Mueble rascador para gatos, con múltiples niveles y superficies para que tu gato juegue, descanse y afile sus uñas",Nidos o Muebles,369000,7
Nido de mimbre para aves,Ave,I3,FeatherNests,22000,10,"Nido de mimbre para aves, con diseño natural y seguro, proporciona un lugar cálido y acogedor para que tus aves descansen y aniden",Nidos o Muebles,99000,7
Cama de ratán para gatos,Gato,I4,RattanCats,40000,7,"Cama de ratán para gatos, con diseño elegante y cojín suave, ofrece un lugar cómodo y con estilo para que tu gato duerma y se relaje",Nidos o Muebles,180000,4
Mueble de descanso para perros grandes,Perro,I5,RestfulPaws,92500,7,"Mueble de descanso para perros grandes, con cojines gruesos y superficies acolchadas, proporciona un lugar lujoso y cómodo para el descanso de tu perro",Nidos o Muebles,416250,9
Alimento seco para perros adultos,Perro,J1,NutriPets,35500,1,"Alimento seco premium para perros adultos, formulado con ingredientes de alta calidad para una nutrición completa y equilibrada",Alimentos y Suplementos,159750,9
Alimento húmedo para gatos esterilizados,Gato,J2,PurrfectMeals,2000,20,"Alimento húmedo de alta calidad para gatos esterilizados, con sabores deliciosos y nutrientes esenciales para una alimentación saludable",Alimentos y Suplementos,9000,5
Suplemento vitamínico para aves,Ave,J3,FeatherBoost,11000,15,"Suplemento vitamínico para aves, fortificado con vitaminas y minerales esenciales para mantener la salud y vitalidad de las aves",Alimentos y Suplementos,49500,9
Snacks para perros de razas pequeñas,Perro,J4,TinyTreats,6300,12,"Snacks deliciosos y saludables para perros de razas pequeñas, ideales como premios o recompensas durante el entrenamiento",Alimentos y Suplementos,28350,10
Alimento enlatado para gatos mayores,Gato,J5,SeniorMeows,2650,18,"Alimento enlatado de alta calidad para gatos mayores, formulado con ingredientes específicos para las necesidades nutricionales de los gatos mayores",Alimentos y Suplementos,11925,10
